Time period,Source,Sink,Flow,TransCap
1.0,1.0,1.0,0.0,0.0
1.0,1.0,2.0,-16.115784938118495,300.0
1.0,1.0,3.0,-576.325660198794,990.0
1.0,1.0,4.0,0.0,0.0
1.0,1.0,5.0,0.0,0.0
1.0,1.0,6.0,0.0,0.0
1.0,1.0,7.0,0.0,0.0
1.0,1.0,8.0,0.0,0.0
1.0,1.0,9.0,0.0,0.0
1.0,1.0,10.0,188.9885571774428,1200.0
1.0,2.0,1.0,16.115784938118495,300.0
1.0,2.0,2.0,0.0,0.0
1.0,2.0,3.0,-560.2098752606755,800.0
1.0,2.0,4.0,7.581119927140662,1195.0
1.0,2.0,5.0,0.0,0.0
1.0,2.0,6.0,-311.2075276201449,1100.0
1.0,2.0,7.0,0.0,0.0
1.0,2.0,8.0,0.0,0.0
1.0,2.0,9.0,0.0,0.0
1.0,2.0,10.0,205.10434211556128,1200.0
1.0,3.0,1.0,576.325660198794,990.0
1.0,3.0,2.0,560.2098752606755,800.0
1.0,3.0,3.0,0.0,0.0
1.0,3.0,4.0,0.0,0.0
1.0,3.0,5.0,0.0,0.0
1.0,3.0,6.0,0.0,0.0
1.0,3.0,7.0,-230.9976523594694,1300.0
1.0,3.0,8.0,0.0,0.0
1.0,3.0,9.0,0.0,0.0
1.0,3.0,10.0,0.0,0.0
1.0,4.0,1.0,0.0,0.0
1.0,4.0,2.0,-7.581119927140662,1195.0
1.0,4.0,3.0,0.0,0.0
1.0,4.0,4.0,0.0,0.0
1.0,4.0,5.0,-262.69504212557376,753.0
1.0,4.0,6.0,-318.78864754728556,1500.0
1.0,4.0,7.0,0.0,0.0
1.0,4.0,8.0,0.0,0.0
1.0,4.0,9.0,0.0,0.0
1.0,4.0,10.0,0.0,0.0
1.0,5.0,1.0,0.0,0.0
1.0,5.0,2.0,0.0,0.0
1.0,5.0,3.0,0.0,0.0
1.0,5.0,4.0,262.69504212557376,753.0
1.0,5.0,5.0,0.0,0.0
1.0,5.0,6.0,-56.09360542171305,870.0
1.0,5.0,7.0,0.0,0.0
1.0,5.0,8.0,-48.85088821085651,740.0
1.0,5.0,9.0,293.6780272069959,450.0
1.0,5.0,10.0,0.0,0.0
1.0,6.0,1.0,0.0,0.0
1.0,6.0,2.0,311.2075276201449,1100.0
1.0,6.0,3.0,0.0,0.0
1.0,6.0,4.0,318.78864754728556,1500.0
1.0,6.0,5.0,56.09360542171305,870.0
1.0,6.0,6.0,0.0,0.0
1.0,6.0,7.0,-480.0,480.0
1.0,6.0,8.0,7.24271721085654,621.0
1.0,6.0,9.0,0.0,0.0
1.0,6.0,10.0,0.0,0.0
1.0,7.0,1.0,0.0,0.0
1.0,7.0,2.0,0.0,0.0
1.0,7.0,3.0,230.9976523594694,1300.0
1.0,7.0,4.0,0.0,0.0
1.0,7.0,5.0,0.0,0.0
1.0,7.0,6.0,480.0,480.0
1.0,7.0,7.0,0.0,0.0
1.0,7.0,8.0,0.0,0.0
1.0,7.0,9.0,0.0,0.0
1.0,7.0,10.0,0.0,0.0
1.0,8.0,1.0,0.0,0.0
1.0,8.0,2.0,0.0,0.0
1.0,8.0,3.0,0.0,0.0
1.0,8.0,4.0,0.0,0.0
1.0,8.0,5.0,48.85088821085651,740.0
1.0,8.0,6.0,-7.24271721085654,621.0
1.0,8.0,7.0,0.0,0.0
1.0,8.0,8.0,0.0,0.0
1.0,8.0,9.0,0.0,0.0
1.0,8.0,10.0,0.0,0.0
1.0,9.0,1.0,0.0,0.0
1.0,9.0,2.0,0.0,0.0
1.0,9.0,3.0,0.0,0.0
1.0,9.0,4.0,0.0,0.0
1.0,9.0,5.0,-293.6780272069959,450.0
1.0,9.0,6.0,0.0,0.0
1.0,9.0,7.0,0.0,0.0
1.0,9.0,8.0,0.0,0.0
1.0,9.0,9.0,0.0,0.0
1.0,9.0,10.0,166.54023710699596,1200.0
1.0,10.0,1.0,-188.9885571774428,1200.0
1.0,10.0,2.0,-205.10434211556128,1200.0
1.0,10.0,3.0,0.0,0.0
1.0,10.0,4.0,0.0,0.0
1.0,10.0,5.0,0.0,0.0
1.0,10.0,6.0,0.0,0.0
1.0,10.0,7.0,0.0,0.0
1.0,10.0,8.0,0.0,0.0
1.0,10.0,9.0,-166.54023710699596,1200.0
1.0,10.0,10.0,0.0,0.0
2.0,1.0,1.0,0.0,0.0
2.0,1.0,2.0,-35.911551433389555,300.0
2.0,1.0,3.0,-516.0307757166947,990.0
2.0,1.0,4.0,0.0,0.0
2.0,1.0,5.0,0.0,0.0
2.0,1.0,6.0,0.0,0.0
2.0,1.0,7.0,0.0,0.0
2.0,1.0,8.0,0.0,0.0
2.0,1.0,9.0,0.0,0.0
2.0,1.0,10.0,155.9423271500843,1200.0
2.0,2.0,1.0,35.911551433389555,300.0
2.0,2.0,2.0,0.0,0.0
2.0,2.0,3.0,-480.1192242833052,800.0
2.0,2.0,4.0,-9.462478920742,1195.0
2.0,2.0,5.0,0.0,0.0
2.0,2.0,6.0,-332.1837268128162,1100.0
2.0,2.0,7.0,0.0,0.0
2.0,2.0,8.0,0.0,0.0
2.0,2.0,9.0,0.0,0.0
2.0,2.0,10.0,191.85387858347386,1200.0
2.0,3.0,1.0,516.0307757166947,990.0
2.0,3.0,2.0,480.1192242833052,800.0
2.0,3.0,3.0,0.0,0.0
2.0,3.0,4.0,0.0,0.0
2.0,3.0,5.0,0.0,0.0
2.0,3.0,6.0,0.0,0.0
2.0,3.0,7.0,-332.06450252951095,1300.0
2.0,3.0,8.0,0.0,0.0
2.0,3.0,9.0,0.0,0.0
2.0,3.0,10.0,0.0,0.0
2.0,4.0,1.0,0.0,0.0
2.0,4.0,2.0,9.462478920742,1195.0
2.0,4.0,3.0,0.0,0.0
2.0,4.0,4.0,0.0,0.0
2.0,4.0,5.0,-231.2412310286678,753.0
2.0,4.0,6.0,-322.7212478920742,1500.0
2.0,4.0,7.0,0.0,0.0
2.0,4.0,8.0,0.0,0.0
2.0,4.0,9.0,0.0,0.0
2.0,4.0,10.0,0.0,0.0
2.0,5.0,1.0,0.0,0.0
2.0,5.0,2.0,0.0,0.0
2.0,5.0,3.0,0.0,0.0
2.0,5.0,4.0,231.2412310286678,753.0
2.0,5.0,5.0,0.0,0.0
2.0,5.0,6.0,-91.48001686340639,870.0
2.0,5.0,7.0,0.0,0.0
2.0,5.0,8.0,-91.86500843170325,740.0
2.0,5.0,9.0,260.6037942664418,450.0
2.0,5.0,10.0,0.0,0.0
2.0,6.0,1.0,0.0,0.0
2.0,6.0,2.0,332.1837268128162,1100.0
2.0,6.0,3.0,0.0,0.0
2.0,6.0,4.0,322.7212478920742,1500.0
2.0,6.0,5.0,91.48001686340639,870.0
2.0,6.0,6.0,0.0,0.0
2.0,6.0,7.0,-480.0,480.0
2.0,6.0,8.0,-0.38499156829675485,621.0
2.0,6.0,9.0,0.0,0.0
2.0,6.0,10.0,0.0,0.0
2.0,7.0,1.0,0.0,0.0
2.0,7.0,2.0,0.0,0.0
2.0,7.0,3.0,332.06450252951095,1300.0
2.0,7.0,4.0,0.0,0.0
2.0,7.0,5.0,0.0,0.0
2.0,7.0,6.0,480.0,480.0
2.0,7.0,7.0,0.0,0.0
2.0,7.0,8.0,0.0,0.0
2.0,7.0,9.0,0.0,0.0
2.0,7.0,10.0,0.0,0.0
2.0,8.0,1.0,0.0,0.0
2.0,8.0,2.0,0.0,0.0
2.0,8.0,3.0,0.0,0.0
2.0,8.0,4.0,0.0,0.0
2.0,8.0,5.0,91.86500843170325,740.0
2.0,8.0,6.0,0.38499156829675485,621.0
2.0,8.0,7.0,0.0,0.0
2.0,8.0,8.0,0.0,0.0
2.0,8.0,9.0,0.0,0.0
2.0,8.0,10.0,0.0,0.0
2.0,9.0,1.0,0.0,0.0
2.0,9.0,2.0,0.0,0.0
2.0,9.0,3.0,0.0,0.0
2.0,9.0,4.0,0.0,0.0
2.0,9.0,5.0,-260.6037942664418,450.0
2.0,9.0,6.0,0.0,0.0
2.0,9.0,7.0,0.0,0.0
2.0,9.0,8.0,0.0,0.0
2.0,9.0,9.0,0.0,0.0
2.0,9.0,10.0,171.95379426644183,1200.0
2.0,10.0,1.0,-155.9423271500843,1200.0
2.0,10.0,2.0,-191.85387858347386,1200.0
2.0,10.0,3.0,0.0,0.0
2.0,10.0,4.0,0.0,0.0
2.0,10.0,5.0,0.0,0.0
2.0,10.0,6.0,0.0,0.0
2.0,10.0,7.0,0.0,0.0
2.0,10.0,8.0,0.0,0.0
2.0,10.0,9.0,-171.95379426644183,1200.0
2.0,10.0,10.0,0.0,0.0
3.0,1.0,1.0,0.0,0.0
3.0,1.0,2.0,-50.55348530323679,300.0
3.0,1.0,3.0,-461.7470852269167,990.0
3.0,1.0,4.0,0.0,0.0
3.0,1.0,5.0,0.0,0.0
3.0,1.0,6.0,0.0,0.0
3.0,1.0,7.0,0.0,0.0
3.0,1.0,8.0,0.0,0.0
3.0,1.0,9.0,0.0,0.0
3.0,1.0,10.0,132.3005705301535,1200.0
3.0,2.0,1.0,50.55348530323679,300.0
3.0,2.0,2.0,0.0,0.0
3.0,2.0,3.0,-411.19359992367987,800.0
3.0,2.0,4.0,-35.604534246306315,1195.0
3.0,2.0,5.0,0.0,0.0
3.0,2.0,6.0,-356.60940696664085,1100.0
3.0,2.0,7.0,0.0,0.0
3.0,2.0,8.0,0.0,0.0
3.0,2.0,9.0,0.0,0.0
3.0,2.0,10.0,182.85405583339028,1200.0
3.0,3.0,1.0,461.7470852269167,990.0
3.0,3.0,2.0,411.19359992367987,800.0
3.0,3.0,3.0,0.0,0.0
3.0,3.0,4.0,0.0,0.0
3.0,3.0,5.0,0.0,0.0
3.0,3.0,6.0,0.0,0.0
3.0,3.0,7.0,-398.26290352148055,1300.0
3.0,3.0,8.0,0.0,0.0
3.0,3.0,9.0,0.0,0.0
3.0,3.0,10.0,0.0,0.0
3.0,4.0,1.0,0.0,0.0
3.0,4.0,2.0,35.604534246306315,1195.0
3.0,4.0,3.0,0.0,0.0
3.0,4.0,4.0,0.0,0.0
3.0,4.0,5.0,-237.09966152597178,753.0
3.0,4.0,6.0,-321.00487272033456,1500.0
3.0,4.0,7.0,0.0,0.0
3.0,4.0,8.0,0.0,0.0
3.0,4.0,9.0,0.0,0.0
3.0,4.0,10.0,0.0,0.0
3.0,5.0,1.0,0.0,0.0
3.0,5.0,2.0,0.0,0.0
3.0,5.0,3.0,0.0,0.0
3.0,5.0,4.0,237.09966152597178,753.0
3.0,5.0,5.0,0.0,0.0
3.0,5.0,6.0,-83.90521119436283,870.0
3.0,5.0,7.0,0.0,0.0
3.0,5.0,8.0,-100.57760559718145,740.0
3.0,5.0,9.0,262.6041258028341,450.0
3.0,5.0,10.0,0.0,0.0
3.0,6.0,1.0,0.0,0.0
3.0,6.0,2.0,356.60940696664085,1100.0
3.0,6.0,3.0,0.0,0.0
3.0,6.0,4.0,321.00487272033456,1500.0
3.0,6.0,5.0,83.90521119436283,870.0
3.0,6.0,6.0,0.0,0.0
3.0,6.0,7.0,-452.8470964785197,480.0
3.0,6.0,8.0,-16.672394402818554,621.0
3.0,6.0,9.0,0.0,0.0
3.0,6.0,10.0,0.0,0.0
3.0,7.0,1.0,0.0,0.0
3.0,7.0,2.0,0.0,0.0
3.0,7.0,3.0,398.26290352148055,1300.0
3.0,7.0,4.0,0.0,0.0
3.0,7.0,5.0,0.0,0.0
3.0,7.0,6.0,452.8470964785197,480.0
3.0,7.0,7.0,0.0,0.0
3.0,7.0,8.0,0.0,0.0
3.0,7.0,9.0,0.0,0.0
3.0,7.0,10.0,0.0,0.0
3.0,8.0,1.0,0.0,0.0
3.0,8.0,2.0,0.0,0.0
3.0,8.0,3.0,0.0,0.0
3.0,8.0,4.0,0.0,0.0
3.0,8.0,5.0,100.57760559718145,740.0
3.0,8.0,6.0,16.672394402818554,621.0
3.0,8.0,7.0,0.0,0.0
3.0,8.0,8.0,0.0,0.0
3.0,8.0,9.0,0.0,0.0
3.0,8.0,10.0,0.0,0.0
3.0,9.0,1.0,0.0,0.0
3.0,9.0,2.0,0.0,0.0
3.0,9.0,3.0,0.0,0.0
3.0,9.0,4.0,0.0,0.0
3.0,9.0,5.0,-262.6041258028341,450.0
3.0,9.0,6.0,0.0,0.0
3.0,9.0,7.0,0.0,0.0
3.0,9.0,8.0,0.0,0.0
3.0,9.0,9.0,0.0,0.0
3.0,9.0,10.0,192.95412580283414,1200.0
3.0,10.0,1.0,-132.3005705301535,1200.0
3.0,10.0,2.0,-182.85405583339028,1200.0
3.0,10.0,3.0,0.0,0.0
3.0,10.0,4.0,0.0,0.0
3.0,10.0,5.0,0.0,0.0
3.0,10.0,6.0,0.0,0.0
3.0,10.0,7.0,0.0,0.0
3.0,10.0,8.0,0.0,0.0
3.0,10.0,9.0,-192.95412580283414,1200.0
3.0,10.0,10.0,0.0,0.0
4.0,1.0,1.0,0.0,0.0
4.0,1.0,2.0,-30.52883170357257,300.0
4.0,1.0,3.0,-532.1652937163443,990.0
4.0,1.0,4.0,0.0,0.0
4.0,1.0,5.0,0.0,0.0
4.0,1.0,6.0,0.0,0.0
4.0,1.0,7.0,0.0,0.0
4.0,1.0,8.0,0.0,0.0
4.0,1.0,9.0,0.0,0.0
4.0,1.0,10.0,161.7375770199169,1200.0
4.0,2.0,1.0,30.52883170357257,300.0
4.0,2.0,2.0,0.0,0.0
4.0,2.0,3.0,-501.63646201277174,800.0
4.0,2.0,4.0,-0.5520779591858656,1195.0
4.0,2.0,5.0,0.0,0.0
4.0,2.0,6.0,-322.0415230551044,1100.0
4.0,2.0,7.0,0.0,0.0
4.0,2.0,8.0,0.0,0.0
4.0,2.0,9.0,0.0,0.0
4.0,2.0,10.0,192.26640872348946,1200.0
4.0,3.0,1.0,532.1652937163443,990.0
4.0,3.0,2.0,501.63646201277174,800.0
4.0,3.0,3.0,0.0,0.0
4.0,3.0,4.0,0.0,0.0
4.0,3.0,5.0,0.0,0.0
4.0,3.0,6.0,0.0,0.0
4.0,3.0,7.0,-300.4050610423327,1300.0
4.0,3.0,8.0,0.0,0.0
4.0,3.0,9.0,0.0,0.0
4.0,3.0,10.0,0.0,0.0
4.0,4.0,1.0,0.0,0.0
4.0,4.0,2.0,0.5520779591858656,1195.0
4.0,4.0,3.0,0.0,0.0
4.0,4.0,4.0,0.0,0.0
4.0,4.0,5.0,-230.37788696326731,753.0
4.0,4.0,6.0,-321.48944509591854,1500.0
4.0,4.0,7.0,0.0,0.0
4.0,4.0,8.0,0.0,0.0
4.0,4.0,9.0,0.0,0.0
4.0,4.0,10.0,0.0,0.0
4.0,5.0,1.0,0.0,0.0
4.0,5.0,2.0,0.0,0.0
4.0,5.0,3.0,0.0,0.0
4.0,5.0,4.0,230.37788696326731,753.0
4.0,5.0,5.0,0.0,0.0
4.0,5.0,6.0,-91.11155813265121,870.0
4.0,5.0,7.0,0.0,0.0
4.0,5.0,8.0,-87.80847561632578,740.0
4.0,5.0,9.0,258.8661374229714,450.0
4.0,5.0,10.0,0.0,0.0
4.0,6.0,1.0,0.0,0.0
4.0,6.0,2.0,322.0415230551044,1100.0
4.0,6.0,3.0,0.0,0.0
4.0,6.0,4.0,321.48944509591854,1500.0
4.0,6.0,5.0,91.11155813265121,870.0
4.0,6.0,6.0,0.0,0.0
4.0,6.0,7.0,-480.0,480.0
4.0,6.0,8.0,3.3030825163257873,621.0
4.0,6.0,9.0,0.0,0.0
4.0,6.0,10.0,0.0,0.0
4.0,7.0,1.0,0.0,0.0
4.0,7.0,2.0,0.0,0.0
4.0,7.0,3.0,300.4050610423327,1300.0
4.0,7.0,4.0,0.0,0.0
4.0,7.0,5.0,0.0,0.0
4.0,7.0,6.0,480.0,480.0
4.0,7.0,7.0,0.0,0.0
4.0,7.0,8.0,0.0,0.0
4.0,7.0,9.0,0.0,0.0
4.0,7.0,10.0,0.0,0.0
4.0,8.0,1.0,0.0,0.0
4.0,8.0,2.0,0.0,0.0
4.0,8.0,3.0,0.0,0.0
4.0,8.0,4.0,0.0,0.0
4.0,8.0,5.0,87.80847561632578,740.0
4.0,8.0,6.0,-3.3030825163257873,621.0
4.0,8.0,7.0,0.0,0.0
4.0,8.0,8.0,0.0,0.0
4.0,8.0,9.0,0.0,0.0
4.0,8.0,10.0,0.0,0.0
4.0,9.0,1.0,0.0,0.0
4.0,9.0,2.0,0.0,0.0
4.0,9.0,3.0,0.0,0.0
4.0,9.0,4.0,0.0,0.0
4.0,9.0,5.0,-258.8661374229714,450.0
4.0,9.0,6.0,0.0,0.0
4.0,9.0,7.0,0.0,0.0
4.0,9.0,8.0,0.0,0.0
4.0,9.0,9.0,0.0,0.0
4.0,9.0,10.0,164.33023622297145,1200.0
4.0,10.0,1.0,-161.7375770199169,1200.0
4.0,10.0,2.0,-192.26640872348946,1200.0
4.0,10.0,3.0,0.0,0.0
4.0,10.0,4.0,0.0,0.0
4.0,10.0,5.0,0.0,0.0
4.0,10.0,6.0,0.0,0.0
4.0,10.0,7.0,0.0,0.0
4.0,10.0,8.0,0.0,0.0
4.0,10.0,9.0,-164.33023622297145,1200.0
4.0,10.0,10.0,0.0,0.0
5.0,1.0,1.0,0.0,0.0
5.0,1.0,2.0,-51.695971048852094,300.0
5.0,1.0,3.0,-430.4260053425249,990.0
5.0,1.0,4.0,0.0,0.0
5.0,1.0,5.0,0.0,0.0
5.0,1.0,6.0,0.0,0.0
5.0,1.0,7.0,0.0,0.0
5.0,1.0,8.0,0.0,0.0
5.0,1.0,9.0,0.0,0.0
5.0,1.0,10.0,119.72760989137699,1200.0
5.0,2.0,1.0,51.695971048852094,300.0
5.0,2.0,2.0,0.0,0.0
5.0,2.0,3.0,-378.7300342936728,800.0
5.0,2.0,4.0,-33.99784334799179,1195.0
5.0,2.0,5.0,0.0,0.0
5.0,2.0,6.0,-353.98322414741665,1100.0
5.0,2.0,7.0,0.0,0.0
5.0,2.0,8.0,0.0,0.0
5.0,2.0,9.0,0.0,0.0
5.0,2.0,10.0,171.42358094022907,1200.0
5.0,3.0,1.0,430.4260053425249,990.0
5.0,3.0,2.0,378.7300342936728,800.0
5.0,3.0,3.0,0.0,0.0
5.0,3.0,4.0,0.0,0.0
5.0,3.0,5.0,0.0,0.0
5.0,3.0,6.0,0.0,0.0
5.0,3.0,7.0,-417.7542356268719,1300.0
5.0,3.0,8.0,0.0,0.0
5.0,3.0,9.0,0.0,0.0
5.0,3.0,10.0,0.0,0.0
5.0,4.0,1.0,0.0,0.0
5.0,4.0,2.0,33.99784334799179,1195.0
5.0,4.0,3.0,0.0,0.0
5.0,4.0,4.0,0.0,0.0
5.0,4.0,5.0,-212.30471654856694,753.0
5.0,4.0,6.0,-319.9853807994249,1500.0
5.0,4.0,7.0,0.0,0.0
5.0,4.0,8.0,0.0,0.0
5.0,4.0,9.0,0.0,0.0
5.0,4.0,10.0,0.0,0.0
5.0,5.0,1.0,0.0,0.0
5.0,5.0,2.0,0.0,0.0
5.0,5.0,3.0,0.0,0.0
5.0,5.0,4.0,212.30471654856694,753.0
5.0,5.0,5.0,0.0,0.0
5.0,5.0,6.0,-107.68066425085789,870.0
5.0,5.0,7.0,0.0,0.0
5.0,5.0,8.0,-126.2197332754289,740.0
5.0,5.0,9.0,233.2347255683939,450.0
5.0,5.0,10.0,0.0,0.0
5.0,6.0,1.0,0.0,0.0
5.0,6.0,2.0,353.98322414741665,1100.0
5.0,6.0,3.0,0.0,0.0
5.0,6.0,4.0,319.9853807994249,1500.0
5.0,6.0,5.0,107.68066425085789,870.0
5.0,6.0,6.0,0.0,0.0
5.0,6.0,7.0,-442.5010457731284,480.0
5.0,6.0,8.0,-18.539069024571063,621.0
5.0,6.0,9.0,0.0,0.0
5.0,6.0,10.0,0.0,0.0
5.0,7.0,1.0,0.0,0.0
5.0,7.0,2.0,0.0,0.0
5.0,7.0,3.0,417.7542356268719,1300.0
5.0,7.0,4.0,0.0,0.0
5.0,7.0,5.0,0.0,0.0
5.0,7.0,6.0,442.5010457731284,480.0
5.0,7.0,7.0,0.0,0.0
5.0,7.0,8.0,0.0,0.0
5.0,7.0,9.0,0.0,0.0
5.0,7.0,10.0,0.0,0.0
5.0,8.0,1.0,0.0,0.0
5.0,8.0,2.0,0.0,0.0
5.0,8.0,3.0,0.0,0.0
5.0,8.0,4.0,0.0,0.0
5.0,8.0,5.0,126.2197332754289,740.0
5.0,8.0,6.0,18.539069024571063,621.0
5.0,8.0,7.0,0.0,0.0
5.0,8.0,8.0,0.0,0.0
5.0,8.0,9.0,0.0,0.0
5.0,8.0,10.0,0.0,0.0
5.0,9.0,1.0,0.0,0.0
5.0,9.0,2.0,0.0,0.0
5.0,9.0,3.0,0.0,0.0
5.0,9.0,4.0,0.0,0.0
5.0,9.0,5.0,-233.2347255683939,450.0
5.0,9.0,6.0,0.0,0.0
5.0,9.0,7.0,0.0,0.0
5.0,9.0,8.0,0.0,0.0
5.0,9.0,9.0,0.0,0.0
5.0,9.0,10.0,184.49141526839395,1200.0
5.0,10.0,1.0,-119.72760989137699,1200.0
5.0,10.0,2.0,-171.42358094022907,1200.0
5.0,10.0,3.0,0.0,0.0
5.0,10.0,4.0,0.0,0.0
5.0,10.0,5.0,0.0,0.0
5.0,10.0,6.0,0.0,0.0
5.0,10.0,7.0,0.0,0.0
5.0,10.0,8.0,0.0,0.0
5.0,10.0,9.0,-184.49141526839395,1200.0
5.0,10.0,10.0,0.0,0.0
6.0,1.0,1.0,0.0,0.0
6.0,1.0,2.0,-55.1014628369111,300.0
6.0,1.0,3.0,-407.6896744750637,990.0
6.0,1.0,4.0,0.0,0.0
6.0,1.0,5.0,0.0,0.0
6.0,1.0,6.0,0.0,0.0
6.0,1.0,7.0,0.0,0.0
6.0,1.0,8.0,0.0,0.0
6.0,1.0,9.0,0.0,0.0
6.0,1.0,10.0,126.48047445287602,1200.0
6.0,2.0,1.0,55.1014628369111,300.0
6.0,2.0,2.0,0.0,0.0
6.0,2.0,3.0,-352.58821163815264,800.0
6.0,2.0,4.0,-29.266008715265897,1195.0
6.0,2.0,5.0,0.0,0.0
6.0,2.0,6.0,-351.49621397327974,1100.0
6.0,2.0,7.0,0.0,0.0
6.0,2.0,8.0,0.0,0.0
6.0,2.0,9.0,0.0,0.0
6.0,2.0,10.0,181.5819372897871,1200.0
6.0,3.0,1.0,407.6896744750637,990.0
6.0,3.0,2.0,352.58821163815264,800.0
6.0,3.0,3.0,0.0,0.0
6.0,3.0,4.0,0.0,0.0
6.0,3.0,5.0,0.0,0.0
6.0,3.0,6.0,0.0,0.0
6.0,3.0,7.0,-444.24555301756396,1300.0
6.0,3.0,8.0,0.0,0.0
6.0,3.0,9.0,0.0,0.0
6.0,3.0,10.0,0.0,0.0
6.0,4.0,1.0,0.0,0.0
6.0,4.0,2.0,29.266008715265897,1195.0
6.0,4.0,3.0,0.0,0.0
6.0,4.0,4.0,0.0,0.0
6.0,4.0,5.0,-162.31391805725207,753.0
6.0,4.0,6.0,-322.2302052580138,1500.0
6.0,4.0,7.0,0.0,0.0
6.0,4.0,8.0,0.0,0.0
6.0,4.0,9.0,0.0,0.0
6.0,4.0,10.0,0.0,0.0
6.0,5.0,1.0,0.0,0.0
6.0,5.0,2.0,0.0,0.0
6.0,5.0,3.0,0.0,0.0
6.0,5.0,4.0,162.31391805725207,753.0
6.0,5.0,5.0,0.0,0.0
6.0,5.0,6.0,-159.91628720076176,870.0
6.0,5.0,7.0,0.0,0.0
6.0,5.0,8.0,-176.7773966503809,740.0
6.0,5.0,9.0,192.37829973115225,450.0
6.0,5.0,10.0,0.0,0.0
6.0,6.0,1.0,0.0,0.0
6.0,6.0,2.0,351.49621397327974,1100.0
6.0,6.0,3.0,0.0,0.0
6.0,6.0,4.0,322.2302052580138,1500.0
6.0,6.0,5.0,159.91628720076176,870.0
6.0,6.0,6.0,0.0,0.0
6.0,6.0,7.0,-445.3375506824363,480.0
6.0,6.0,8.0,-16.861109449619075,621.0
6.0,6.0,9.0,0.0,0.0
6.0,6.0,10.0,0.0,0.0
6.0,7.0,1.0,0.0,0.0
6.0,7.0,2.0,0.0,0.0
6.0,7.0,3.0,444.24555301756396,1300.0
6.0,7.0,4.0,0.0,0.0
6.0,7.0,5.0,0.0,0.0
6.0,7.0,6.0,445.3375506824363,480.0
6.0,7.0,7.0,0.0,0.0
6.0,7.0,8.0,0.0,0.0
6.0,7.0,9.0,0.0,0.0
6.0,7.0,10.0,0.0,0.0
6.0,8.0,1.0,0.0,0.0
6.0,8.0,2.0,0.0,0.0
6.0,8.0,3.0,0.0,0.0
6.0,8.0,4.0,0.0,0.0
6.0,8.0,5.0,176.7773966503809,740.0
6.0,8.0,6.0,16.861109449619075,621.0
6.0,8.0,7.0,0.0,0.0
6.0,8.0,8.0,0.0,0.0
6.0,8.0,9.0,0.0,0.0
6.0,8.0,10.0,0.0,0.0
6.0,9.0,1.0,0.0,0.0
6.0,9.0,2.0,0.0,0.0
6.0,9.0,3.0,0.0,0.0
6.0,9.0,4.0,0.0,0.0
6.0,9.0,5.0,-192.37829973115225,450.0
6.0,9.0,6.0,0.0,0.0
6.0,9.0,7.0,0.0,0.0
6.0,9.0,8.0,0.0,0.0
6.0,9.0,9.0,0.0,0.0
6.0,9.0,10.0,180.78356433115226,1200.0
6.0,10.0,1.0,-126.48047445287602,1200.0
6.0,10.0,2.0,-181.5819372897871,1200.0
6.0,10.0,3.0,0.0,0.0
6.0,10.0,4.0,0.0,0.0
6.0,10.0,5.0,0.0,0.0
6.0,10.0,6.0,0.0,0.0
6.0,10.0,7.0,0.0,0.0
6.0,10.0,8.0,0.0,0.0
6.0,10.0,9.0,-180.78356433115226,1200.0
6.0,10.0,10.0,0.0,0.0
7.0,1.0,1.0,0.0,0.0
7.0,1.0,2.0,-49.257947659587295,300.0
7.0,1.0,3.0,-463.54954493319497,990.0
7.0,1.0,4.0,0.0,0.0
7.0,1.0,5.0,0.0,0.0
7.0,1.0,6.0,0.0,0.0
7.0,1.0,7.0,0.0,0.0
7.0,1.0,8.0,0.0,0.0
7.0,1.0,9.0,0.0,0.0
7.0,1.0,10.0,130.98417659278226,1200.0
7.0,2.0,1.0,49.257947659587295,300.0
7.0,2.0,2.0,0.0,0.0
